ID,Cena
0,197133.94
1,18081.727
2,22148.04
3,79701.83
4,96037.7
5,10801.211
6,8129.2383
7,16916.13
8,18584.754
9,374922.9
10,194944.86
11,23645.256
12,28577.291
13,110430.445
14,125288.86
15,82163.664
16,121041.33
17,14279.651
18,11066.2295
19,59359.57
20,21743.1
21,46765.883
22,16975.332
23,24397.684
24,74994.94
25,61163.152
26,64431.89
27,65780.27
28,205182.1
29,127249.02
30,22140.564
31,32190.953
32,216517.42
33,151325.14
34,14262.176
35,38476.207
36,7990.735
37,8645.203
38,11699.856
39,30457.418
40,93965.63
41,81754.64
42,59940.215
43,29870.748
44,33793.066
45,55693.79
46,34971.137
47,23802.209
48,16276.38
49,16051.433
50,8820.856
51,47830.25
52,21673.164
53,70032.35
54,9516.774
55,17135.979
56,31148.451
57,284112.72
58,15917.887
59,31810.201
60,25527.3
61,34136.91
62,60704.938
63,5475.6646
64,128396.48
65,26763.02
66,90050.016
67,49283.484
68,6856.828
69,101282.39
70,108071.66
71,55595.613
72,35027.18
73,9587.555
74,25898.791
75,70967.71
76,154052.03
77,22090.092
78,14157.199
79,19550.865
80,51486.453
81,120534.48
82,24792.545
83,63502.742
84,25924.195
85,21537.826
86,71719.68
87,117279.44
88,60738.758
89,38412.812
90,392933.88
91,58650.71
92,13029.028
93,34322.363
94,13832.615
95,20823.031
96,103434.484
97,43530.543
98,88312.9
99,105865.375
100,30271.098
101,8643.942
102,38227.195
103,10314.792
104,66655.73
105,60871.555
106,316989.75
107,24406.107
108,126950.35
109,100460.84
110,46505.434
111,30237.11
112,64440.742
113,39825.28
114,25278.588
115,7814.173
116,25946.654
117,224236.34
118,139592.5
119,41414.348
120,26187.125
121,3299.6897
122,17918.912
123,27151.818
124,25576.332
125,51203.324
126,60159.668
127,77371.945
128,33431.19
129,37096.156
130,215838.11
131,34996.46
132,174818.52
133,59710.0
134,49166.31
135,20572.77
136,11537.847
137,10375.107
138,21676.285
139,198512.1
140,143833.7
141,15288.156
142,35832.348
143,24380.47
144,186573.9
145,25357.086
146,46474.484
147,48677.445
148,169983.53
149,103586.21
150,53101.746
151,66723.97
152,17032.969
153,127091.72
154,40728.54
155,16670.557
156,27638.447
157,97074.09
158,4169.1475
159,54568.863
160,29577.658
161,22939.604
162,19239.814
163,64457.09
164,9770.771
165,30056.266
166,14907.629
167,29222.213
168,143851.4
169,80005.914
170,50818.32
171,11051.685
172,35074.75
173,13862.463
174,30037.754
175,3419.8481
176,20974.41
177,11912.193
178,56417.3
179,45483.473
180,107585.66
181,91647.11
182,15755.023
183,22108.068
184,26695.29
185,9019.361
186,42800.344
187,218542.56
188,28826.744
189,16688.963
190,46615.246
191,80007.98
192,7905.971
193,16086.39
194,24956.256
195,17150.17
196,69568.51
197,47984.176
198,24786.35
199,20800.8
200,46802.293
201,23587.438
202,21726.744
203,33739.03
204,61168.168
205,85144.48
206,125155.7
207,53315.785
208,72042.766
209,12196.8
210,34377.17
211,5994.0444
212,12896.36
213,19770.36
214,96253.55
215,43342.883
216,7235.875
217,12353.278
218,46308.176
219,4867.1113
220,54440.004
221,38562.72
222,16108.928
223,99462.92
224,329048.44
225,17324.693
226,19048.287
227,385186.12
228,47253.754
229,43384.902
230,44714.8
231,47783.29
232,9567.868
233,81938.62
234,10459.081
235,20287.17
236,149323.14
237,76910.16
238,22230.234
239,34013.582
240,20524.402
241,15939.124
242,17102.572
243,45337.004
244,77191.74
245,10407.893
246,29482.889
247,55102.965
248,12700.305
249,42616.445
250,53331.957
251,212292.12
252,23064.955
253,54457.297
254,52011.91
255,58565.81
256,11982.247
257,91157.57
258,53087.363
259,15251.763
260,25813.027
261,104707.26
262,47730.547
263,48756.336
264,28822.18
265,50395.87
266,13258.528
267,57605.324
268,33727.543
269,65386.918
270,20889.127
271,22890.584
272,23896.033
273,105109.35
274,42517.43
275,82906.31
276,13281.208
277,69531.625
278,385147.9
279,63991.227
280,17411.957
281,270309.38
282,17484.56
283,204799.31
284,44809.656
285,181275.98
286,19336.059
287,53546.008
288,30435.523
289,10587.137
290,154325.97
291,154924.38
292,80643.414
293,19574.654
294,30459.625
295,17080.436
296,57907.777
297,53969.277
298,20160.162
299,76545.53
300,17289.19
301,35437.516
302,54082.42
303,36039.246
304,51440.465
305,31155.879
306,144578.95
307,73985.75
308,19894.174
309,9690.28
310,25419.24
311,128986.32
312,9292.812
313,10411.13
314,6672.0347
315,31990.734
316,326242.5
317,159783.4
318,16099.605
319,19935.922
320,106096.93
321,53739.695
322,136103.53
323,58203.605
324,94312.0
325,33252.61
326,87654.39
327,64672.664
328,9107.396
329,27870.957
330,29339.584
331,348414.94
332,9246.316
333,62472.79
334,42639.535
335,18875.006
336,29956.533
337,75655.33
338,40169.195
339,38889.094
340,39254.938
341,112106.82
342,33142.465
343,20141.98
344,16573.87
345,67142.46
346,22583.793
347,191855.52
348,11664.114
349,11303.329
350,28673.06
351,19197.125
352,34336.867
353,18186.412
354,11365.022
355,55838.555
356,214959.73
357,37889.355
358,9987.164
359,5126.2856
360,94174.04
361,91596.17
362,51969.96
363,9916.791
364,11963.063
365,28691.25
366,11802.328
367,32932.56
368,13672.01
369,206950.77
370,60866.098
371,51466.473
372,33307.01
373,156242.25
374,25262.873
375,156747.16
376,72143.555
377,11379.523
378,24174.266
379,17797.441
380,96553.266
381,56856.273
382,13650.654
383,8781.336
384,27064.383
385,73833.85
386,57651.656
387,85555.53
388,36441.41
389,29236.264
390,4867.135
391,4646.4443
392,48673.363
393,174175.83
394,145791.73
395,29138.03
396,23062.602
397,65740.695
398,27461.018
399,20963.47
400,56070.473
401,168743.56
402,118920.086
403,5441.125
404,149445.52
405,68439.66
406,30154.488
407,29857.361
408,62737.168
409,25427.824
410,6200.6973
411,81583.99
412,78559.37
413,12522.15
414,30431.432
415,7043.8364
416,7217.8223
417,18279.725
418,13671.801
419,22341.842
420,69884.57
421,14371.85
422,68156.06
423,145021.97
424,16361.062
425,91497.164
426,22936.957
427,48022.77
428,58335.863
429,26181.082
430,22126.736
431,18156.967
432,81171.96
433,109789.57
434,53602.008
435,25047.176
436,52158.543
437,78950.68
438,10680.719
439,20998.168
440,26208.562
441,73793.09
442,32750.928
443,23458.195
444,81352.07
445,30750.13
446,38582.914
447,83159.71
448,49555.574
449,154220.19
450,45938.156
451,16933.42
452,64404.31
453,64341.074
454,63332.188
455,199985.11
456,37005.695
457,69299.4
458,59413.09
459,35264.895
460,134795.38
461,12513.876
462,12666.458
463,24955.256
464,60668.305
465,67074.11
466,15348.714
467,13153.761
468,87032.9
469,28410.547
470,34850.312
471,93251.9
472,29437.121
473,13532.0205
474,63619.004
475,140811.64
476,57503.832
477,10424.255
478,9396.681
479,109171.984
480,23540.783
481,12253.186
482,10672.603
483,112120.72
484,9928.195
485,58961.86
486,124355.7
487,41161.867
488,11626.806
489,23650.217
490,5282.106
491,113145.89
492,111128.46
493,54174.88
494,214062.47
495,10095.682
496,42085.445
497,15902.196
498,86738.0
499,3340.684
500,15229.988
501,13905.021
502,32019.732
503,30158.514
504,11653.983
505,11333.88
506,58544.31
507,57303.137
508,86358.484
509,29618.73
510,18173.201
511,80302.97
512,17508.957
513,21084.479
514,12206.191
515,28546.947
516,39982.07
517,46632.363
518,103927.984
519,14811.514
520,11615.234
521,138975.23
522,147548.14
523,27092.094
524,62132.39
525,134800.39
526,37023.062
527,22736.887
528,23193.248
529,9153.717
530,44448.26
531,9713.913
532,16624.926
533,18713.363
534,11339.372
535,183572.77
536,62352.973
537,6063.4917
538,75803.38
539,117323.17
540,50940.99
541,34841.64
542,32124.371
543,107006.39
544,30423.363
545,56608.15
546,9459.185
547,22964.207
548,35821.21
549,9553.006
550,30959.38
551,35314.03
552,142854.62
553,14118.366
554,9852.701
555,19134.812
556,91015.805
557,6069.996
558,77243.44
559,20750.115
560,7316.5317
561,48420.938
562,25733.805
563,30982.746
564,43399.633
565,135348.64
566,20067.871
567,44177.707
568,9062.649
569,3789.4502
570,43843.938
571,19833.135
572,72243.875
573,231626.61
574,122893.66
575,10476.203
576,4321.7905
577,158236.19
578,105069.97
579,7399.478
580,42127.77
581,33981.48
582,14463.332
583,65669.33
584,29224.834
585,56268.62
586,18036.102
587,3758.884
588,150156.39
589,39819.395
590,8556.403
591,106342.375
592,14571.106
593,83318.484
594,25091.621
595,17232.576
596,29680.006
597,12679.549
598,112352.45
599,60858.203
600,80578.375
601,17903.145
602,53926.625
603,21465.604
604,7664.271
605,13460.363
606,357551.28
607,343441.06
608,112767.56
609,19624.338
610,20493.127
611,23783.58
612,38721.887
613,43970.484
614,16357.973
615,22329.06
616,103162.78
617,20551.492
618,47778.777
619,39537.97
620,20016.91
621,19359.604
622,96799.34
623,22698.928
624,147221.33
625,70312.484
626,11582.578
627,16911.195
628,30626.213
629,49742.56
630,11345.776
631,21655.623
632,24628.756
633,29356.182
634,14717.632
635,79387.914
636,44006.9
637,90804.945
638,150249.94
639,42314.766
640,20862.549
641,73111.37
642,146354.25
643,6249.2007
644,46359.215
645,13788.924
646,68835.02
647,31119.945
648,18820.756
649,34152.28
650,76217.586
651,38046.797
652,35180.746
653,155990.19
654,31378.332
655,117142.73
656,188552.06
657,41295.555
658,9897.675
659,22718.05
660,9660.879
661,18384.732
662,6945.6577
663,64036.83
664,38075.652
665,69268.08
666,36144.645
667,41120.63
668,37042.56
669,17353.865
670,31418.277
671,12927.529
672,27706.273
673,65490.83
674,16101.97
675,45354.91
676,11961.329
677,19264.123
678,19664.338
679,18672.074
680,84392.73
681,94015.12
682,28743.945
683,61489.797
684,28555.523
685,168843.69
686,67813.984
687,13744.217
688,393561.3
689,9479.768
690,119988.32
691,10818.264
692,11662.435
693,58626.496
694,66806.43
695,169454.11
696,33217.492
697,130087.77
698,75187.94
699,19055.264
700,16654.729
701,146910.25
702,22760.492
703,44412.16
704,51498.977
705,29270.887
706,12088.863
707,91503.53
708,55328.977
709,29870.178
710,170641.84
711,27696.498
712,10840.181
713,63652.566
714,42378.25
715,29578.957
716,59764.234
717,68348.6
718,18917.736
719,67144.51
720,124145.13
721,66241.41
722,50162.543
723,37318.074
724,84058.9
725,79773.54
726,33874.96
727,55209.062
728,26730.598
729,60710.38
730,96011.97
731,32363.83
732,124776.836
733,15376.743
734,171385.38
735,91300.26
736,41553.37
737,85258.88
738,54499.33
739,14996.728
740,58993.81
741,11904.776
742,18771.37
743,9329.0
744,139278.81
745,50292.883
746,128888.94
747,110737.87
748,158886.58
749,31532.828
750,6749.735
751,96551.88
752,17509.125
753,18729.469
754,15755.068
755,5983.3516
756,11508.35
757,106550.484
758,23632.494
759,17273.186
760,11387.569
761,117747.1
762,10980.638
763,25757.031
764,36694.637
765,45597.22
766,11146.703
767,47190.344
768,18724.271
769,90186.41
770,30756.525
771,38553.047
772,21714.129
773,58598.492
774,9404.92
775,29619.295
776,11618.016
777,77399.695
778,65048.812
779,18950.44
780,220950.89
781,8129.246
782,46325.8
783,133879.23
784,9332.257
785,137393.05
786,73717.83
787,28678.42
788,15322.665
789,31337.24
790,109202.39
791,48920.613
792,18366.033
793,36587.22
794,96197.75
795,29618.957
796,125456.85
797,45338.562
798,36715.43
799,21457.58
800,11166.89
801,47936.426
802,51354.145
803,18291.6
804,80604.125
805,26286.037
806,56738.785
807,136014.38
808,18823.287
809,63917.73
810,22290.059
811,119104.18
812,9665.625
813,100138.49
814,48280.805
815,18980.61
816,38808.73
817,53960.117
818,18305.545
819,4240.898
820,70715.44
821,38185.656
822,38788.562
823,61710.57
824,35077.492
825,8098.3213
826,83428.6
827,49001.02
828,16823.473
829,79236.414
830,40909.363
831,21893.357
832,24635.262
833,59798.1
834,99019.79
835,65718.13
836,96788.45
837,46817.516
838,8703.64
839,34736.266
840,137128.11
